country,energy_type,year,energy_consumption,energy_production,gdp,population,energy_intensity_per_capita,energy_intensity_by_gdp,co2_emission
Australia,coal,2002,2.0257732279188,7.4109125474881,767.916,19521.48,254.799823801403,6.47736167021212,191.245696869082
Australia,natural_gas,2002,0.98473857482,1.33252782845,767.916,19521.48,254.799823801403,6.47736167021212,47.526500428
Australia,petroleum_n_other_liquids,2002,1.78792927237346,1.39971324247336,767.916,19521.48,254.799823801403,6.47736167021212,114.73531728
Australia,renewables_n_other,2002,0.175628589230356,0.180184176,767.916,19521.48,254.799823801403,6.47736167021212,0
Austria,all_energy_types,2002,1.42163508210949,0.557003627975725,360.6824,8086.537,175.802705423779,3.94151497857808,65.588587856
Austria,coal,2002,0.101814368114357,0.019405584643164,360.6824,8086.537,175.802705423779,3.94151497857808,14.0302260899664
Austria,natural_gas,2002,0.29193942869,0.066724161,360.6824,8086.537,175.802705423779,3.94151497857808,15.316435766
Austria,petroleum_n_other_liquids,2002,0.57023475404151,0.045616798582561,360.6824,8086.537,175.802705423779,3.94151497857808,36.241926
Austria,renewables_n_other,2002,0.457646531263624,0.42525708375,360.6824,8086.537,175.802705423779,3.94151497857808,0
Azerbaijan,all_energy_types,2002,0.531857414805862,0.878819773929886,39.5151,8277.07,64.2567254844845,13.4595993634297,31.18865281
Azerbaijan,coal,2002,0.000143046249524,0,39.5151,8277.07,64.2567254844845,13.4595993634297,0.005626254903472
Azerbaijan,natural_gas,2002,0.3292325631,0.18714654525,39.5151,8277.07,64.2567254844845,13.4595993634297,13.183026555
Azerbaijan,petroleum_n_other_liquids,2002,0.177103105456338,0.671327228679886,39.5151,8277.07,64.2567254844845,13.4595993634297,18
Azerbaijan,renewables_n_other,2002,0.0253787,0.020346,39.5151,8277.07,64.2567254844845,13.4595993634297,0
Bahrain,all_energy_types,2002,0.42155996357,0.445107866768092,32.948,710.554,593.283499311805,12.7947057050504,20.759663145
Bahrain,coal,2002,0,0,32.948,710.554,593.283499311805,12.7947057050504,0
Bahrain,natural_gas,2002,0.3497816553,0.3497816553,32.948,710.554,593.283499311805,12.7947057050504,17.459663145
Bahrain,petroleum_n_other_liquids,2002,0.07177830827,0.095326211468092,32.948,710.554,593.283499311805,12.7947057050504,3.3
Bahrain,renewables_n_other,2002,0,0,32.948,710.554,593.283499311805,12.7947057050504,0
Bangladesh,all_energy_types,2002,0.588135527543959,0.407646155401639,277.91,132478,4.43949582227962,2.11628054961664,32.905114673
Bangladesh,coal,2002,0.021985871198117,0,277.91,132478,4.43949582227962,2.11628054961664,2.01132446914299
Bangladesh,natural_gas,2002,0.3837645735,0.3837645735,277.91,132478,4.43949582227962,2.11628054961664,18.893790204
