date,non-renewable,renewable,total
01/09/14,17919517.821,4467661.763,22387179.584
01/10/14,17652114.936,4398695.364,22050810.3
01/11/14,15228400.791,3834340.26,19062741.051
01/12/14,15168026.714,3892322.972,19060349.686
01/01/15,15471144.315,3953413.77,19424558.085
01/02/15,14218182.768,3910783.514,18128966.282
01/03/15,16124980.583,4646648.991,20771629.574
01/04/15,16463808.901,5199023.259,21662832.16
01/05/15,17711056.999,5510087.735,23221144.734
01/06/15,18552679.913,4901628.12,23454308.033
01/07/15,19207436.428,5039571.921,24247008.349
01/08/15,21011136.47,4176489.481,25187625.951
01/09/15,19630936.556,4015914.983,23646851.539
01/10/15,19196157.383,3379718.836,22575876.219
01/11/15,16655278.283,2951508.604,19606786.887
01/12/15,16505266.518,2633973.803,19139240.321
01/01/16,16277699.422,2659169.578,18936869
01/02/16,15760473.184,2892171.0308,18652644.2148
01/03/16,17549679.248,3353590.5817,20903269.8297
01/04/16,17835699.15,4405835.2303,22241534.3803
01/05/16,19178931.149,5084232.84029,24263163.98929
01/06/16,19806029.772,4603827.4488,24409857.2208
01/07/16,20216934.927,4839842.3285,25056777.2555
01/08/16,19507560.096,5195115.274,24702675.37
01/09/16,18373932.872,4737799.1829,23111732.0549
01/10/16,18088518.642,4314970.4499,22403489.0919
01/11/16,16272774.873,3240317.9901,19513092.8631
01/12/16,16072328.377,2885394.31754,18957722.69454
01/01/17,15972410.513,2961647.1269,18934057.6399
01/02/17,14946682.008,2928117.1254,17874799.1334
01/03/17,17255926.07,3638931.51284,20894857.58284
01/04/17,16879412.114,4244804.6603,21124216.7743
01/05/17,18612497.675,5281186.08456,23893683.75956
01/06/17,19085272.918,5269005.18386,24354278.10186
01/07/17,19536022.379,4151619.14082,23687641.51982
01/08/17,20505734.192,4259254.34297,24764988.53497
01/09/17,17596762.497,4784344.207746,22381106.704746
01/10/17,17033964.042,4655648.1439,21689612.1859
01/11/17,16083883.357,3402608.57134,19486491.92834
01/12/17,15035654.443,3295293.70096,18330948.14396
01/01/18,15313105.16,3506079.45219,18819184.61219
01/02/18,14951159.447,3451687.43466,18402846.88166
01/03/18,16898093.728,4044652.43317,20942746.16117
01/04/18,17086182.376,4160708.01186,21246890.38786
01/05/18,18518397.007,5629467.005709,24147864.012709
01/06/18,19009147.159,5341073.374637,24350220.533637
01/07/18,19634087.135,4963836.489752,24597923.624752
01/08/18,20414319.021,4336953.082039,24751272.103039
01/09/18,18353123.696,4341064.917858,22694188.613858
01/10/18,16780481.079,4728057.87791,21508538.95691
01/11/18,15649008.506,3727013.357577,19376021.863577
01/12/18,14577890.5,3269204.204269,17847094.704269
01/01/19,15156441.653,3070980.671514,18227422.324514
01/02/19,15585862.374,2618163.52056,18204025.89456
01/03/19,16838445.987,3409783.66166,20248229.64866
01/04/19,16595815.293,3686398.731074,20282214.024074
01/05/19,19502511.255,3830339.653708,23332850.908708
01/06/19,19589497.778,3921820.71123,23511318.48923
01/07/19,20074610.052,3937338.228594,24011948.280594
01/08/19,21188980.69,3771845.75822,24960826.44822
01/09/19,18772334.821,3288136.627061,22060471.448061
01/10/19,17653533.729,3021118.63953,20674652.36853
01/11/19,14665790.097,3119488.359843,17785278.456843
01/12/19,14173023.969,2922310.060421,17095334.029421
01/01/20,14746384.465,2911979.733222,17658364.198222
01/02/20,14122392.823,2723145.390689,16845538.213689
01/03/20,15791226.013,3360402.605932,19151628.618932
01/04/20,13237484.875,3882050.747519,17119535.622519
01/05/20,14326426.999,4342983.535345,18669410.534345
01/06/20,15898618.587,4013851.550013,19912470.137013
01/07/20,16969845.074,4353195.025335,21323040.099335
01/08/20,17999681.385,4210857.489778,22210538.874778
01/09/20,16250030.417,3774477.610222,20024508.027222
01/10/20,15686312.005,3881375.257002,19567687.262002
01/11/20,13647880.004,2943221.920091,16591101.924091
01/12/20,12551935.81,2947740.540799,15499676.350799
01/01/21,12900816.82,2789210.72,15690027.54
01/02/21,12638178.01,2989910.81,15628088.82
01/03/21,13361405.21,3928697.57,17290102.78
01/04/21,13978718.95,4394327.71,18373046.66
01/05/21,15786099.14,4732405.69,20518504.83
01/06/21,17372018.77,4137535.95,21509554.72
01/07/21,16618118.97,4387717.42,21005836.39
01/08/21,16032791.82,5337470.43,21370262.25
01/09/21,14629538.22,5914142.18,20543680.4
01/10/21,13995942.39,5544566.69,19540509.08
01/11/21,12061024.28,3837514.5,15898538.78
01/12/21,13367522.89,3427808.98,16795331.87
